Name,Nation,Followers,Height,Weight,Age,Birthday,Hometown,First Season,Stance
Kelly Slater,United States,167k,175 cm,73 kg,"Cocoa Beach, Florida, USA","Feb 11, 1972","
            ,Stance,
            ,Regular,
        ,
            ,First season,
            ,1989 Men's CT,
        ,
            ,Age,
            ,
                51
            ,
            ,Feb 11, 1972,
        ,
        ,
            ,Height,
            ,
        ,
            5 ft, 9 in
        ,
     ,175 cm,
        ,
            ,Weight,
            ,160 lbs, ,73 kg,
        ,
            ,Hometown,
            ,Cocoa Beach, Florida, USA,
        ",1989 Men's CT,Regular
Jay Thompson,Australia,122,188 cm,87 kg,"Sydney, New South Wales, Australia","Aug 16, 1982","
            ,Stance,
            ,Regular,
        ,
            ,First season,
            ,2006 Men's CT,
        ,
            ,Age,
            ,
                40
            ,
            ,Aug 16, 1982,
        ,
        ,
            ,Height,
            ,
        ,
            6 ft, 3 in
        ,
     ,188 cm,
        ,
            ,Weight,
            ,191 lbs, ,87 kg,
        ,
            ,Hometown,
            ,Sydney, New South Wales, Australia,
        ",2006 Men's CT,Regular
Joan Duru,France,"8,957",177 cm,77 kg,"Ondres, France","Apr 25, 1989","
            ,Stance,
            ,Goofy,
        ,
            ,First season,
            ,2006 Men's CT,
        ,
            ,Age,
            ,
                34
            ,
            ,Apr 25, 1989,
        ,
        ,
            ,Height,
            ,
        ,
            5 ft, 10 in
        ,
     ,177 cm,
        ,
            ,Weight,
            ,169 lbs, ,77 kg,
        ,
            ,Hometown,
            ,Ondres, France,
        ",2006 Men's CT,Goofy
Raoni Monteiro,Brazil,576,177 cm,76 kg,"Saquarema, Rio de Janeiro, Brazil","May 7, 1982","
            ,Stance,
            ,Regular,
        ,
            ,First season,
            ,1999 Men's CT,
        ,
            ,Age,
            ,
                41
            ,
            ,May 7, 1982,
        ,
        ,
            ,Height,
            ,
        ,
            5 ft, 10 in
        ,
     ,177 cm,
        ,
            ,Weight,
            ,167 lbs, ,76 kg,
        ,
            ,Hometown,
            ,Saquarema, Rio de Janeiro, Brazil,
        ",1999 Men's CT,Regular
Heitor Alves,Brazil,"1,568",167 cm,66 kg,"Fortaleza, Brazil","Apr 3, 1982","
            ,Stance,
            ,Goofy,
        ,
            ,First season,
            ,2007 Men's CT,
        ,
            ,Age,
            ,
                41
            ,
            ,Apr 3, 1982,
        ,
        ,
            ,Height,
            ,
        ,
            5 ft, 6 in
        ,
     ,167 cm,
        ,
            ,Weight,
            ,145 lbs, ,66 kg,
        ,
            ,Hometown,
            ,Fortaleza, Brazil,
        ",2007 Men's CT,Goofy
Matthew McGillivray,South Africa,"4,970",180 cm,73 kg,"Jeffreys Bay, Eastern Cape, South Africa","Mar 26, 1997","
            ,Stance,
            ,Regular,
        ,
            ,First season,
            ,2012 Men's JR,
        ,
            ,Age,
            ,
                26
            ,
            ,Mar 26, 1997,
        ,
        ,
            ,Height,
            ,
        ,
            5 ft, 11 in
        ,
     ,180 cm,
        ,
            ,Weight,
            ,160 lbs, ,73 kg,
        ,
            ,Hometown,
            ,Jeffreys Bay, Eastern Cape, South Africa,
        ",2012 Men's JR,Regular
Yadin Nicol,Australia,689,175 cm,70 kg,"Cowaramup, Western Australia, Australia","Nov 16, 1985","
            ,Stance,
            ,Regular,
        ,
            ,First season,
            ,2006 Men's CT,
        ,
            ,Age,
            ,
                37
            ,
            ,Nov 16, 1985,
        ,
        ,
            ,Height,
            ,
        ,
            5 ft, 9 in
        ,
     ,175 cm,
        ,
            ,Weight,
            ,154 lbs, ,70 kg,
        ,
            ,Hometown,
            ,Cowaramup, Western Australia, Australia,
        ",2006 Men's CT,Regular
Alex Ribeiro,Brazil,14k,178 cm,77 kg,"Praia Grande, São Paulo, Brazil","Oct 19, 1989","
            ,Stance,
            ,Goofy,
        ,
            ,First season,
            ,2008 Men's QS,
        ,
            ,Age,
            ,
                33
            ,
            ,Oct 19, 1989,
        ,
        ,
            ,Height,
            ,
        ,
            5 ft, 11 in
        ,
     ,178 cm,
        ,
            ,Weight,
            ,169 lbs, ,77 kg,
        ,
            ,Hometown,
            ,Praia Grande, São Paulo, Brazil,
        ",2008 Men's QS,Goofy
Bino Lopes,Brazil,"4,758",180 cm,74 kg,"Praia do Forte, Bahia / Brazil","Dec 6, 1987","
            ,Stance,
            ,Regular,
        ,
            ,First season,
            ,2008 Men's QS,
        ,
            ,Age,
            ,
                35
            ,
            ,Dec 6, 1987,
        ,
        ,
            ,Height,
            ,
        ,
            5 ft, 11 in
        ,
     ,180 cm,
        ,
            ,Weight,
            ,163 lbs, ,74 kg,
        ,
            ,Hometown,
            ,Praia do Forte, Bahia / Brazil,
        ",2008 Men's QS,Regular
Glenn Hall,Ireland,"2,609",165 cm,63 kg,"Umina, New South Wales, Australia","Nov 11, 1981","
            ,Stance,
            ,Goofy,
        ,
            ,First season,
            ,2008 Men's QS,
        ,
            ,Age,
            ,
                41
            ,
            ,Nov 11, 1981,
        ,
        ,
            ,Height,
            ,
        ,
            5 ft, 5 in
        ,
     ,165 cm,
        ,
            ,Weight,
            ,138 lbs, ,63 kg,
        ,
            ,Hometown,
            ,Umina, New South Wales, Australia,
        ",2008 Men's QS,Goofy
