Name,Nation,Followers,Data
Lucas Silveira,Brazil,"5,046","#45,1,14.30,2.83,Regular,2011 Men's QS,
                27
            ,
            ,Jan 29, 1996,
        ,
        ,
            6 ft, 1 in
        ,
     ,185 cm,191 lbs, ,87 kg,Rio de Janeiro"
Deivid Silva,Brazil,13k,"#29,2,8.37,3.10,Goofy,2011 Men's JR,
                28
            ,
            ,Feb 10, 1995,
        ,
        ,
            5 ft, 7 in
        ,
     ,168 cm,149 lbs, ,68 kg,Guaruja, São Paulo, Brazil"
Tanner Gudauskas,United States,"2,237","#37,4,15.66,2010,Goofy,2008 Men's QS,
                34
            ,
            ,Jul 4, 1988,
        ,
        ,
            5 ft, 11 in
        ,
     ,178 cm,179 lbs, ,81 kg,California, USA"
Marco Fernandez,Brazil,"2,851","#45,1,11.47,3.17,Regular,2008 Men's QS"
Michael February,South Africa,"5,376","#45,11.62,3.72,Regular,2008 Men's QS,
                29
            ,
            ,May 17, 1993,
        ,
        ,
            6 ft, 3 in
        ,
     ,188 cm,158 lbs, ,72 kg,Cape Town, South Africa"
Bino Lopes,Brazil,"4,758","#44,8.22,2.50,Regular,2008 Men's QS,
                35
            ,
            ,Dec 6, 1987,
        ,
        ,
            5 ft, 11 in
        ,
     ,180 cm,163 lbs, ,74 kg,Praia do Forte, Bahia / Brazil"
Tevita Gukilau,Fiji,578,"#45,7.17,1.77,Goofy,2008 Men's QS,Fiji"
Evan Geiselman,United States,"3,366","#39,1,13.36,4.09,Goofy,2008 Men's QS,
                29
            ,
            ,Aug 31, 1993,
        ,149 lbs, ,68 kg,New Smyrna Beach, Florida, USA"
Mikey Wright,Australia,14k,"#38,13.67,4.59,Regular,2012 Men's JR,
                26
            ,
            ,Sep 14, 1996,
        ,
        ,
            6 ft, 1 in
        ,
     ,183 cm,176 lbs, ,80 kg,Culburra Beach, New South Wales, Australia"
Matthew McGillivray,South Africa,"4,970","#13,6,11.06,3.73,Regular,2012 Men's JR,
                26
            ,
            ,Mar 26, 1997,
        ,
        ,
            5 ft, 11 in
        ,
     ,180 cm,160 lbs, ,73 kg,Jeffreys Bay, Eastern Cape, South Africa"
Joe Van Dijk,Australia,"1,353","#47,8.54,2.47,Regular,2012 Men's JR,
                24
            ,
            ,Sep 22, 1998,
        ,
        ,
            6 ft, 0 in
        ,
     ,182 cm,163 lbs, ,74 kg,Phillip Island, Victoria, Australia"
Blake Thornton,Australia,141,"#43,1,10.92,2010,Regular,2008 Men's QS"
Morgan Cibilic,Australia,"8,020","#29,2,9.58,3.36,2015 Men's JR,
                23
            ,
            ,Oct 18, 1999,
        ,Merewether, New South Wales, Australia"
Hiroto Ohhara,Japan,"3,753","#45,12.23,4.58,Regular,2009 Men's QS,
                26
            ,
            ,Nov 14, 1996,
        ,
        ,
            5 ft, 4 in
        ,
     ,162 cm,136 lbs, ,62 kg,Chiba, Japan"
Tim Reyes,United States,288,"#48,1,11.51,3.38,Regular,2005 Men's CT,
                40
            ,
            ,Jul 9, 1982,
        ,157 lbs, ,71 kg,California"
Marco Polo,Brazil,60,"#43,1,9.37,2010,2007 Men's CT"
Drew Courtney,Australia,19,"#43,1,8.46,2.32,1999 Men's CT"
Jay Thompson,Australia,122,"#41,2,10.23,3.03,Regular,2006 Men's CT,
                40
            ,
            ,Aug 16, 1982,
        ,
        ,
            6 ft, 3 in
        ,
     ,188 cm,191 lbs, ,87 kg,Sydney, New South Wales, Australia"
Mick Campbell,Australia,49,"#43,1,11.11,3.29,Goofy,1996 Men's CT"
Ramzi Boukhiam,Morocco,"2,758","#34,0.00,0.00,Goofy,2008 Men's QS,
                29
            ,
            ,Sep 14, 1993,
        ,
        ,
            6 ft, 1 in
        ,
     ,184 cm,187 lbs, ,85 kg,Agadir"
Ben Spence,Australia,93,"#45,9.12,2.92,2016 Men's JR"
Tully Wylie,Australia,192,"#45,9.85,3.84,2016 Men's JR"
Afonso Antunes,Portugal,"1,084","#45,1.00,1.00,Regular,2015 Men's JR,
                19
            ,
            ,Aug 19, 2003,
        ,
        ,
            5 ft, 0 in
        ,
     ,152 cm,94 lbs, ,43 kg,Caparica, Portugal"
Jordan Lawler,Australia,992,"#44,7.59,2.54,Goofy,2012 Men's JR,
                28
            ,
            ,Jan 6, 1995,
        ,
        ,
            5 ft, 9 in
        ,
     ,175 cm,154 lbs, ,70 kg,North Narrabeen"
Oney Anwar,Indonesia,"1,480","#45,8.64,2.28,Regular,2011 Men's JR"
David Delroy-Carr,Australia,245,"#45,4.42,1.61,2010 Men's QS"
Tikanui Smith,French Polynesia,198,"#40,1,5.69,2.06,2011 Men's QS"
Koa Smith,Hawaii,"3,408","#45,12.77,3.49,Goofy,2008 Men's QS,
                27
            ,
            ,Jan 2, 1996,
        ,Kilauea, Kauai"
Kael Walsh,Australia,629,"#41,8.60,1.75,2014 Men's JR"
Miguel Tudela,Peru,"2,564","#38,1,10.24,3.06,Goofy,2009 Men's QS,
                28
            ,
            ,Dec 26, 1994,
        ,
        ,
            5 ft, 8 in
        ,
     ,171 cm,141 lbs, ,64 kg,Punta Hermosa, Peru"
